"filename", "language", "CSS", "XML", "JavaScript", "JSON", "Markdown", "HTML", "SQL", "Python", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_arrowUp.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_bulb.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_check.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_chevronsRight.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_clapperboard.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_deleteUser.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_dropdown.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_edit.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_email.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_facebook.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_facebook_white.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_group.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_hourglass.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_instagram.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_instagram_white.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_integrity.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_integrity2.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_level.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_link.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_mailClosed.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_mailOpen.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_media.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_menu.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_note.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_performance.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_phone.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_pin.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_play.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
