 poster_id |                           title                            |  imdb_id   | rank |                                cloudinary_id                                 
      1371 | Francesca Quinn, PI                                        | tt21532904 |      | posters/Francesca_Quinn,_PI_tt21532904
      1372 | I Am Somebody&apos;s Child: The Regina Louise Story        | tt9053916  |      | posters/I_Am_Somebodyandapos;s_Child:_The_Regina_Louise_Story_tt9053916
      1373 | Christmas Connection                                       | tt7630836  |      | posters/Christmas_Connection_tt7630836
      1374 | Midnight Sun                                               | tt2390283  |      | posters/Midnight_Sun_tt2390283
      1375 | Seven Times Lucky                                          | tt0364656  |      | posters/Seven_Times_Lucky_tt0364656
      1376 | Curse of Chucky                                            | tt2230358  |      | posters/Curse_of_Chucky_tt2230358
      1377 | Becky                                                      | tt10314450 |      | posters/Becky_tt10314450
      1378 | Copper                                                     | tt2006374  |      | posters/Copper_tt2006374
      1379 | A Secret to Keep                                           | tt13292408 |      | posters/A_Secret_to_Keep_tt13292408
      1380 | Many Wounds                                                | tt29869031 |      | posters/Many_Wounds_tt29869031
      1381 | Polarized                                                  | tt6800566  |      | posters/Polarized_tt6800566
      1382 | Rookie Blue                                                | tt1442065  |      | posters/Rookie_Blue_tt1442065
      1383 | Little Bird                                                | tt22750834 |      | posters/Little_Bird_tt22750834
      1384 | Nightmare Alley                                            | tt7740496  |      | posters/Nightmare_Alley_tt7740496
      1385 | Night Hunter                                               | tt6533240  |      | posters/Night_Hunter_tt6533240
      1386 | The Boys                                                   | tt1190634  |      | posters/The_Boys_tt1190634
      1387 | The Midnight Man                                           | tt5629964  |      | posters/The_Midnight_Man_tt5629964
      1388 | I Still See You                                            | tt2160105  |      | posters/I_Still_See_You_tt2160105
      1389 | Lovesick                                                   | tt4996022  |      | posters/Lovesick_tt4996022
      1390 | The Assassination of Jesse James by the Coward Robert Ford | tt0443680  |      | posters/The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford_tt0443680
      1391 | Clown in A Cornfield                                       | tt23060698 |      | posters/Clown_in_A_Cornfield_tt23060698
      1392 | Period Piece                                               | tt3823742  |      | posters/Period_Piece_tt3823742
      1393 | The Christmas Heart                                        | tt2415468  |      | posters/The_Christmas_Heart_tt2415468
      1394 | Don&apos;t Even                                            | tt32560033 |      | posters/Donandapos;t_Even_tt32560033
      1395 | The Toll                                                   | tt9202550  |      | posters/The_Toll_tt9202550
      1396 | A Winter Getaway                                           | tt13606142 |      | posters/A_Winter_Getaway_tt13606142
      1397 | High Life                                                  | tt1143110  |      | posters/High_Life_tt1143110
      1398 | Resident Evil: Welcome to Raccoon City                     | tt6920084  |      | posters/Resident_Evil:_Welcome_to_Raccoon_City_tt6920084
      1399 | Keep Your Head Up, Kid: The Don Cherry Story               | tt1546555  |      | posters/Keep_Your_Head_Up,_Kid:_The_Don_Cherry_Story_tt1546555
      1400 | Cult of Chucky                                             | tt3280262  |      | posters/Cult_of_Chucky_tt3280262
      1401 | Hello, Goodbye and Everything in Between                   | tt4181158  |      | posters/Hello,_Goodbye_and_Everything_in_Between_tt4181158
      1402 | White House Down                                           | tt2334879  |      | posters/White_House_Down_tt2334879
      1403 | With Love                                                  | tt30788842 |      | no poster
      1404 | Wintertide                                                 | tt6628462  |      | posters/Wintertide_tt6628462
      1405 | Borealis                                                   | tt3630652  |      | posters/Borealis_tt3630652
      1406 | Faces in the Crowd                                         | tt1536410  |      | posters/Faces_in_the_Crowd_tt1536410
      1407 | Sweet Autumn                                               | tt13057170 |      | posters/Sweet_Autumn_tt13057170
      1408 | House Party                                                | tt1105316  |      | posters/House_Party_tt1105316
      1409 | Carter                                                     | tt7083006  |      | posters/Carter_tt7083006
      1410 | Killjoys                                                   | tt3952222  |      | posters/Killjoys_tt3952222
      1411 | ATM                                                        | tt1603257  |      | posters/ATM_tt1603257
      1412 | Edgar                                                      | tt12873702 |      | posters/Edgar_tt12873702
      1413 | Ann Rule&apos;s A House on Fire                            | tt13318928 |      | posters/Ann_Ruleandapos;s_A_House_on_Fire_tt13318928
      1414 | Wrong Turn 4: Bloody Beginnings                            | tt1865567  |      | posters/Wrong_Turn_4:_Bloody_Beginnings_tt1865567
      1415 | Expectations                                               | tt26753119 |      | no poster
      1416 | SuperGrid                                                  | tt6949498  |      | posters/SuperGrid_tt6949498
      1417 | Maneater                                                   | tt0846713  |      | posters/Maneater_tt0846713
      1418 | Normal                                                     | tt31195136 |      | no poster
      1419 | Christmas at the Plaza                                     | tt10921042 |      | posters/Christmas_at_the_Plaza_tt10921042
      1420 | Silent Night                                               | tt2347497  |      | posters/Silent_Night_tt2347497
      1421 | We Summon the Darkness                                     | tt8058874  |      | posters/We_Summon_the_Darkness_tt8058874
      1422 | The Returned                                               | tt2093270  |      | posters/The_Returned_tt2093270
      1423 | Falcon Beach                                               | tt0430074  |      | no poster
      1424 | Haunting Sarah                                             | tt0463029  |      | posters/Haunting_Sarah_tt0463029
      1425 | Look Away                                                  | tt5834760  |      | posters/Look_Away_tt5834760
      1426 | Bring It On: Cheer or Die                                  | tt20101986 |      | posters/Bring_It_On:_Cheer_or_Die_tt20101986
      1427 | Full of It                                                 | tt0446752  |      | posters/Full_of_It_tt0446752
      1428 | Bad Meat                                                   | tt1034010  |      | posters/Bad_Meat_tt1034010
      1429 | From                                                       | tt9813792  |      | posters/From_tt9813792
      1430 | How It Ends                                                | tt5246700  |      | posters/How_It_Ends_tt5246700
